"Genes","Scores","Type","Description"
"SALL1","0.000001599","Peripheral","spalt like transcription factor 1"
"BLOC1S2","0.000001599","Peripheral","biogenesis of lysosomal organelles complex 1 subunit 2"
"WSB1","0.000001598","Peripheral","WD repeat and SOCS box containing 1"
"NME2","0.000001598","Peripheral","NME/NM23 nucleoside diphosphate kinase 2"
"NIFK","0.000001597","Peripheral","nucleolar protein interacting with the FHA domain of MKI67"
"MYF6","0.000001597","Peripheral","myogenic factor 6"
"PEX11A","0.000001597","Peripheral","peroxisomal biogenesis factor 11 alpha"
"RFX2","0.000001596","Peripheral","regulatory factor X2"
"FASTKD5","0.000001594","Peripheral","FAST kinase domains 5"
"MSC","0.000001592","Peripheral","musculin"
"CHCHD6","0.000001592","Peripheral","coiled-coil-helix-coiled-coil-helix domain containing 6"
"CPNE3","0.000001592","Peripheral","copine 3"
"RPL8","0.000001591","Peripheral","ribosomal protein L8"
"DGKD","0.000001588","Peripheral","diacylglycerol kinase delta"
"DOCK9","0.000001588","Peripheral","dedicator of cytokinesis 9"
"CDC40","0.000001587","Peripheral","cell division cycle 40"
"MEIOB","0.000001586","Peripheral","meiosis specific with OB-fold"
"BRD3","0.000001585","Peripheral","bromodomain containing 3"
"GPATCH8","0.000001585","Peripheral","G-patch domain containing 8"
"NT5C3B","0.000001585","Peripheral","5'-nucleotidase, cytosolic IIIB"
"LYL1","0.000001585","Peripheral","LYL1 basic helix-loop-helix family member"
"BTBD1","0.000001584","Peripheral","BTB domain containing 1"
"TIAL1","0.000001584","Peripheral","TIA1 cytotoxic granule associated RNA binding protein like 1"
"NME7","0.000001584","Peripheral","NME/NM23 family member 7"
"GABRG3","0.000001584","Peripheral","gamma-aminobutyric acid type A receptor subunit gamma3"
"GALM","0.000001583","Peripheral","galactose mutarotase"
"NT5C2","0.000001583","Peripheral","5'-nucleotidase, cytosolic II"
"CLEC4A","0.000001583","Peripheral","C-type lectin domain family 4 member A"
"NT5C3A","0.00000158","Peripheral","5'-nucleotidase, cytosolic IIIA"
"ELF3","0.000001579","Peripheral","E74 like ETS transcription factor 3"
"OLA1","0.000001579","Peripheral","Obg like ATPase 1"
"GULP1","0.000001579","Peripheral","GULP PTB domain containing engulfment adaptor 1"
"HSPB7","0.000001578","Peripheral","heat shock protein family B (small) member 7"
"MTX3","0.000001577","Peripheral","metaxin 3"
"SENP5","0.000001577","Peripheral","SUMO specific peptidase 5"
"PDP1","0.000001577","Peripheral","pyruvate dehydrogenase phosphatase catalytic subunit 1"
"ZCWPW2","0.000001576","Peripheral","zinc finger CW-type and PWWP domain containing 2"
"MORC3","0.000001576","Peripheral","MORC family CW-type zinc finger 3"
"TRIM66","0.000001576","Peripheral","tripartite motif containing 66"
"SPATA5L1","0.000001576","Peripheral","spermatogenesis associated 5 like 1"
"MTX2","0.000001576","Peripheral","metaxin 2"
"TMOD3","0.000001575","Peripheral","tropomodulin 3"
"ATP1A1","0.000001575","Peripheral","ATPase Na+/K+ transporting subunit alpha 1"
"ACADVL","0.000001574","Peripheral","acyl-CoA dehydrogenase very long chain"
"SEMA4B","0.000001574","Peripheral","semaphorin 4B"
"NT5C1B","0.000001574","Peripheral","5'-nucleotidase, cytosolic IB"
"MYLK4","0.000001573","Peripheral","myosin light chain kinase family member 4"
"CBFA2T3","0.000001572","Peripheral","CBFA2/RUNX1 partner transcriptional co-repressor 3"
"TET1","0.000001572","Peripheral","tet methylcytosine dioxygenase 1"
"CCP110","0.00000157","Peripheral","centriolar coiled-coil protein 110"
"GET3","0.000001569","Peripheral","guided entry of tail-anchored proteins factor 3, ATPase"
"MTREX","0.000001569","Peripheral","Mtr4 exosome RNA helicase"
"PPCS","0.000001568","Peripheral","phosphopantothenoylcysteine synthetase"
"BCAM","0.000001567","Peripheral","basal cell adhesion molecule (Lutheran blood group)"
"SH3GLB2","0.000001567","Peripheral","SH3 domain containing GRB2 like, endophilin B2"
"PDLIM1","0.000001566","Peripheral","PDZ and LIM domain 1"
"ACAA2","0.000001566","Peripheral","acetyl-CoA acyltransferase 2"
"NUFIP1","0.000001566","Peripheral","nuclear FMR1 interacting protein 1"
"DACH1","0.000001565","Peripheral","dachshund family transcription factor 1"
"CCZ1B","0.000001563","Peripheral","CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
"DPYSL4","0.000001563","Peripheral","dihydropyrimidinase like 4"
"EXOSC7","0.000001562","Peripheral","exosome component 7"
"DDX56","0.000001559","Peripheral","DEAD-box helicase 56"
"APBA3","0.000001558","Peripheral","amyloid beta precursor protein binding family A member 3"
"FGFRL1","0.000001558","Peripheral","fibroblast growth factor receptor like 1"
"FOXRED2","0.000001558","Peripheral","FAD dependent oxidoreductase domain containing 2"
"MKRN1","0.000001558","Peripheral","makorin ring finger protein 1"
"EYA3","0.000001557","Peripheral","EYA transcriptional coactivator and phosphatase 3"
"ASH1L","0.000001557","Peripheral","ASH1 like histone lysine methyltransferase"
"PARP10","0.000001557","Peripheral","poly(ADP-ribose) polymerase family member 10"
"INTU","0.000001556","Peripheral","inturned planar cell polarity protein"
"NUB1","0.000001556","Peripheral","negative regulator of ubiquitin like proteins 1"
"POGZ","0.000001556","Peripheral","pogo transposable element derived with ZNF domain"
"AGFG1","0.000001555","Peripheral","ArfGAP with FG repeats 1"
"RBM28","0.000001554","Peripheral","RNA binding motif protein 28"
"IARS2","0.000001554","Peripheral","isoleucyl-tRNA synthetase 2, mitochondrial"
"NT5C","0.000001554","Peripheral","5', 3'-nucleotidase, cytosolic"
"ANGEL1","0.000001554","Peripheral","angel homolog 1"
"CAMK1D","0.000001553","Peripheral","calcium/calmodulin dependent protein kinase ID"
"EXOSC4","0.000001552","Peripheral","exosome component 4"
"EIF6","0.000001552","Peripheral","eukaryotic translation initiation factor 6"
"LRRTM4","0.000001552","Peripheral","leucine rich repeat transmembrane neuronal 4"
"DSC2","0.000001551","Peripheral","desmocollin 2"
"HNF4G","0.000001551","Peripheral","hepatocyte nuclear factor 4 gamma"
"MAGEL2","0.000001551","Peripheral","MAGE family member L2"
"ATP5F1EP2","0.00000155","Peripheral","ATP synthase F1 subunit epsilon pseudogene 2"
"FRMD1","0.00000155","Peripheral","FERM domain containing 1"
"BYSL","0.00000155","Peripheral","bystin like"
"ARL8B","0.00000155","Peripheral","ADP ribosylation factor like GTPase 8B"
"CHRM3","0.00000155","Peripheral","cholinergic receptor muscarinic 3"
"MED18","0.000001549","Peripheral","mediator complex subunit 18"
"MERTK","0.000001549","Peripheral","MER proto-oncogene, tyrosine kinase"
"PEX12","0.000001548","Peripheral","peroxisomal biogenesis factor 12"
"FUBP1","0.000001548","Peripheral","far upstream element binding protein 1"
"CXXC5","0.000001548","Peripheral","CXXC finger protein 5"
"UBXN2B","0.000001548","Peripheral","UBX domain protein 2B"
"KCNJ4","0.000001548","Peripheral","potassium inwardly rectifying channel subfamily J member 4"
"BLZF1","0.000001546","Peripheral","basic leucine zipper nuclear factor 1"
"MYRIP","0.000001546","Peripheral","myosin VIIA and Rab interacting protein"
"ATP6AP2","0.000001545","Peripheral","ATPase H+ transporting accessory protein 2"
"DNAJC11","0.000001545","Peripheral","DnaJ heat shock protein family (Hsp40) member C11"
"NT5C1B-RDH14","0.000001544","Peripheral","NT5C1B-RDH14 readthrough"
"RBM22","0.000001544","Peripheral","RNA binding motif protein 22"
"NT5M","0.000001544","Peripheral","5',3'-nucleotidase, mitochondrial"
"RPS27","0.000001544","Peripheral","ribosomal protein S27"
"ADAP1","0.000001544","Peripheral","ArfGAP with dual PH domains 1"
"PAQR3","0.000001544","Peripheral","progestin and adipoQ receptor family member 3"
"MYOZ1","0.000001543","Peripheral","myozenin 1"
"ARNTL2","0.000001543","Peripheral","aryl hydrocarbon receptor nuclear translocator like 2"
"MARCHF1","0.000001542","Peripheral","membrane associated ring-CH-type finger 1"
"RPL3","0.000001541","Peripheral","ribosomal protein L3"
"CCNL2","0.000001541","Peripheral","cyclin L2"
"OXA1L","0.000001541","Peripheral","OXA1L mitochondrial inner membrane protein"
"PPIL4","0.000001537","Peripheral","peptidylprolyl isomerase like 4"
"NT5C1A","0.000001537","Peripheral","5'-nucleotidase, cytosolic IA"
"MAFA","0.000001536","Peripheral","MAF bZIP transcription factor A"
"APOBEC3H","0.000001536","Peripheral","apolipoprotein B mRNA editing enzyme catalytic subunit 3H"
"PEX2","0.000001535","Peripheral","peroxisomal biogenesis factor 2"
"DNAL4","0.000001534","Peripheral","dynein axonemal light chain 4"
"B3GALT4","0.000001534","Peripheral","beta-1,3-galactosyltransferase 4"
"MAPK15","0.000001534","Peripheral","mitogen-activated protein kinase 15"
"FBXL15","0.000001534","Peripheral","F-box and leucine rich repeat protein 15"
"SLC4A10","0.000001534","Peripheral","solute carrier family 4 member 10"
"MICOS13","0.000001533","Peripheral","mitochondrial contact site and cristae organizing system subunit 13"
"SNX11","0.000001532","Peripheral","sorting nexin 11"
"H2AC13","0.000001532","Peripheral","H2A clustered histone 13"
"UCN","0.000001531","Peripheral","urocortin"
"REEP1","0.000001531","Peripheral","receptor accessory protein 1"
"SOSTDC1","0.000001531","Peripheral","sclerostin domain containing 1"
"CRX","0.00000153","Peripheral","cone-rod homeobox"
"DNAJC21","0.00000153","Peripheral","DnaJ heat shock protein family (Hsp40) member C21"
"EXOSC9","0.000001529","Peripheral","exosome component 9"
"ZMYM3","0.000001529","Peripheral","zinc finger MYM-type containing 3"
"COPZ2","0.000001529","Peripheral","COPI coat complex subunit zeta 2"
"RBMX","0.000001529","Peripheral","RNA binding motif protein X-linked"
"EEF1D","0.000001528","Peripheral","eukaryotic translation elongation factor 1 delta"
"PDLIM5","0.000001528","Peripheral","PDZ and LIM domain 5"
"KCNIP2","0.000001528","Peripheral","potassium voltage-gated channel interacting protein 2"
"HPCA","0.000001528","Peripheral","hippocalcin"
"LMCD1","0.000001528","Peripheral","LIM and cysteine rich domains 1"
"PCF11","0.000001528","Peripheral","PCF11 cleavage and polyadenylation factor subunit"
"AVIL","0.000001526","Peripheral","advillin"
"WASHC2C","0.000001526","Peripheral","WASH complex subunit 2C"
"SLC11A1","0.000001526","Peripheral","solute carrier family 11 member 1"
"CLK3","0.000001525","Peripheral","CDC like kinase 3"
"LSG1","0.000001525","Peripheral","large 60S subunit nuclear export GTPase 1"
"HMGCS2","0.000001524","Peripheral","3-hydroxy-3-methylglutaryl-CoA synthase 2"
"TARBP1","0.000001524","Peripheral","TAR (HIV-1) RNA binding protein 1"
"ITGB1BP1","0.000001524","Peripheral","integrin subunit beta 1 binding protein 1"
"SAFB","0.000001524","Peripheral","scaffold attachment factor B"
"RAMP2","0.000001523","Peripheral","receptor activity modifying protein 2"
"KDM4D","0.000001523","Peripheral","lysine demethylase 4D"
"SYT13","0.000001523","Peripheral","synaptotagmin 13"
"DSEL","0.000001523","Peripheral","dermatan sulfate epimerase like"
"AFAP1","0.000001522","Peripheral","actin filament associated protein 1"
"CDH3","0.000001521","Peripheral","cadherin 3"
"INS-IGF2","0.000001521","Peripheral","INS-IGF2 readthrough"
"NOP2","0.00000152","Peripheral","NOP2 nucleolar protein"
"GLIS2","0.00000152","Peripheral","GLIS family zinc finger 2"
"HEXB","0.000001519","Peripheral","hexosaminidase subunit beta"
"NOXRED1","0.000001519","Peripheral","NADP dependent oxidoreductase domain containing 1"
"CTNNBIP1","0.000001518","Peripheral","catenin beta interacting protein 1"
"PCIF1","0.000001518","Peripheral","phosphorylated CTD interacting factor 1"
"TNFRSF19","0.000001518","Peripheral","TNF receptor superfamily member 19"
"INHBE","0.000001516","Peripheral","inhibin subunit beta E"
"CCZ1","0.000001515","Peripheral","CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
"LAS1L","0.000001515","Peripheral","LAS1 like ribosome biogenesis factor"
"MMP28","0.000001515","Peripheral","matrix metallopeptidase 28"
"NDUFAF3","0.000001515","Peripheral","NADH:ubiquinone oxidoreductase complex assembly factor 3"
"DNAJB14","0.000001514","Peripheral","DnaJ heat shock protein family (Hsp40) member B14"
"FIZ1","0.000001514","Peripheral","FLT3 interacting zinc finger 1"
"BBS10","0.000001513","Peripheral","Bardet-Biedl syndrome 10"
"BLID","0.000001513","Peripheral","BH3-like motif containing, cell death inducer"
"GIMAP5","0.000001513","Peripheral","GTPase, IMAP family member 5"
"TBCA","0.000001513","Peripheral","tubulin folding cofactor A"
"PTH2R","0.00000151","Peripheral","parathyroid hormone 2 receptor"
"VCPIP1","0.00000151","Peripheral","valosin containing protein interacting protein 1"
"MICOS10","0.00000151","Peripheral","mitochondrial contact site and cristae organizing system subunit 10"
"NPAS4","0.000001508","Peripheral","neuronal PAS domain protein 4"
"HEXA","0.000001508","Peripheral","hexosaminidase subunit alpha"
"PLPP4","0.000001506","Peripheral","phospholipid phosphatase 4"
"PDCD5","0.000001505","Peripheral","programmed cell death 5"
"PAX3","0.000001504","Peripheral","paired box 3"
"CEP192","0.000001503","Peripheral","centrosomal protein 192"
"SNX30","0.000001503","Peripheral","sorting nexin family member 30"
"RPL35A","0.000001503","Peripheral","ribosomal protein L35a"
"IGF2BP1","0.000001503","Peripheral","insulin like growth factor 2 mRNA binding protein 1"
"KANSL3","0.000001502","Peripheral","KAT8 regulatory NSL complex subunit 3"
"H4C7","0.000001502","Peripheral","H4 clustered histone 7"
"LGI1","0.000001501","Peripheral","leucine rich glioma inactivated 1"
"FAM217B","0.0000015","Peripheral","family with sequence similarity 217 member B"
"AK1","0.0000015","Peripheral","adenylate kinase 1"
"ZNF76","0.0000015","Peripheral","zinc finger protein 76"
"WDR46","0.0000015","Peripheral","WD repeat domain 46"
"SLIRP","0.000001499","Peripheral","SRA stem-loop interacting RNA binding protein"
"LPP","0.000001498","Peripheral","LIM domain containing preferred translocation partner in lipoma"
"CDK2AP1","0.000001498","Peripheral","cyclin dependent kinase 2 associated protein 1"
"MTMR1","0.000001498","Peripheral","myotubularin related protein 1"
"IQCB1","0.000001498","Peripheral","IQ motif containing B1"
"CRTAC1","0.000001497","Peripheral","cartilage acidic protein 1"
"HAP1","0.000001497","Peripheral","huntingtin associated protein 1"
"RPL23A","0.000001497","Peripheral","ribosomal protein L23a"
"PAPOLA","0.000001496","Peripheral","poly(A) polymerase alpha"
"SHROOM3","0.000001496","Peripheral","shroom family member 3"
"CITED4","0.000001496","Peripheral","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4"
"UPRT","0.000001495","Peripheral","uracil phosphoribosyltransferase homolog"
"FNIP1","0.000001494","Peripheral","folliculin interacting protein 1"
"FBLIM1","0.000001494","Peripheral","filamin binding LIM protein 1"
"LRP4","0.000001492","Peripheral","LDL receptor related protein 4"
"TCL1B","0.000001492","Peripheral","TCL1 family AKT coactivator B"
"MTCP1","0.000001492","Peripheral","mature T cell proliferation 1"
"CADM1","0.00000149","Peripheral","cell adhesion molecule 1"
"DBP","0.00000149","Peripheral","D-box binding PAR bZIP transcription factor"
"TEF","0.00000149","Peripheral","TEF transcription factor, PAR bZIP family member"
"APOBEC3D","0.00000149","Peripheral","apolipoprotein B mRNA editing enzyme catalytic subunit 3D"
"PGRMC1","0.000001489","Peripheral","progesterone receptor membrane component 1"
"UCMA","0.000001489","Peripheral","upper zone of growth plate and cartilage matrix associated"
"NDUFAF4","0.000001488","Peripheral","NADH:ubiquinone oxidoreductase complex assembly factor 4"
"DRD4","0.000001488","Peripheral","dopamine receptor D4"
"BTBD2","0.000001488","Peripheral","BTB domain containing 2"
"CST2","0.000001488","Peripheral","cystatin SA"
"WNT7A","0.000001487","Peripheral","Wnt family member 7A"
"HEATR1","0.000001487","Peripheral","HEAT repeat containing 1"
"AGRP","0.000001487","Peripheral","agouti related neuropeptide"
"UFC1","0.000001486","Peripheral","ubiquitin-fold modifier conjugating enzyme 1"
"EIF3D","0.000001486","Peripheral","eukaryotic translation initiation factor 3 subunit D"
"PHF2","0.000001486","Peripheral","PHD finger protein 2"
"BCL9L","0.000001486","Peripheral","BCL9 like"
"TRPM7","0.000001486","Peripheral","transient receptor potential cation channel subfamily M member 7"
"BBS7","0.000001485","Peripheral","Bardet-Biedl syndrome 7"
"BCAS2","0.000001484","Peripheral","BCAS2 pre-mRNA processing factor"
"MARCHF7","0.000001484","Peripheral","membrane associated ring-CH-type finger 7"
"BMP6","0.000001484","Peripheral","bone morphogenetic protein 6"
"SEC22A","0.000001483","Peripheral","SEC22 homolog A, vesicle trafficking protein"
"RPL27A","0.000001483","Peripheral","ribosomal protein L27a"
"EFS","0.000001482","Peripheral","embryonal Fyn-associated substrate"
"MED30","0.000001482","Peripheral","mediator complex subunit 30"
"TMEM43","0.000001481","Peripheral","transmembrane protein 43"
"RILPL1","0.000001481","Peripheral","Rab interacting lysosomal protein like 1"
"PENK","0.00000148","Peripheral","proenkephalin"
"GINS4","0.00000148","Peripheral","GINS complex subunit 4"
"NDUFAF7","0.00000148","Peripheral","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"KCNN1","0.000001479","Peripheral","potassium calcium-activated channel subfamily N member 1"
"SLC2A3","0.000001479","Peripheral","solute carrier family 2 member 3"
"ALKAL1","0.000001478","Peripheral","ALK and LTK ligand 1"
"PRDM14","0.000001478","Peripheral","PR/SET domain 14"
"PATL1","0.000001478","Peripheral","PAT1 homolog 1, processing body mRNA decay factor"
"PTGIR","0.000001478","Peripheral","prostaglandin I2 receptor"
"CDH10","0.000001477","Peripheral","cadherin 10"
"CDH8","0.000001477","Peripheral","cadherin 8"
"TRA2B","0.000001477","Peripheral","transformer 2 beta homolog"
"TFAP2D","0.000001477","Peripheral","transcription factor AP-2 delta"
"MED29","0.000001477","Peripheral","mediator complex subunit 29"
"WNT2B","0.000001476","Peripheral","Wnt family member 2B"
"CYP3A7-CYP3A51P","0.000001476","Peripheral","CYP3A7-CYP3A51P readthrough"
"CEP97","0.000001476","Peripheral","centrosomal protein 97"
"SNAP91","0.000001476","Peripheral","synaptosome associated protein 91"
"DSG4","0.000001476","Peripheral","desmoglein 4"
"PLA2G4C","0.000001475","Peripheral","phospholipase A2 group IVC"
"SOX1","0.000001475","Peripheral","SRY-box transcription factor 1"
"DENND2B","0.000001475","Peripheral","DENN domain containing 2B"
"TBCD","0.000001475","Peripheral","tubulin folding cofactor D"
"RCVRN","0.000001474","Peripheral","recoverin"
"GINS1","0.000001474","Peripheral","GINS complex subunit 1"
"TFR2","0.000001473","Peripheral","transferrin receptor 2"
"ADM2","0.00000147","Peripheral","adrenomedullin 2"
"MARCHF3","0.00000147","Peripheral","membrane associated ring-CH-type finger 3"
"CAMK1G","0.000001469","Peripheral","calcium/calmodulin dependent protein kinase IG"
"CPT1C","0.000001469","Peripheral","carnitine palmitoyltransferase 1C"
"RFX7","0.000001469","Peripheral","regulatory factor X7"
"ID2","0.000001468","Peripheral","inhibitor of DNA binding 2"
"INHBC","0.000001467","Peripheral","inhibin subunit beta C"
"FKBP3","0.000001467","Peripheral","FKBP prolyl isomerase 3"
"PLEKHF2","0.000001467","Peripheral","pleckstrin homology and FYVE domain containing 2"
"MYH15","0.000001466","Peripheral","myosin heavy chain 15"
"NPFFR2","0.000001466","Peripheral","neuropeptide FF receptor 2"
"BUD31","0.000001465","Peripheral","BUD31 homolog"
"SDHC","0.000001464","Peripheral","succinate dehydrogenase complex subunit C"
"CACUL1","0.000001464","Peripheral","CDK2 associated cullin domain 1"
"KLC4","0.000001463","Peripheral","kinesin light chain 4"
"KIF7","0.000001463","Peripheral","kinesin family member 7"
"MED11","0.000001462","Peripheral","mediator complex subunit 11"
"TP53I3","0.000001461","Peripheral","tumor protein p53 inducible protein 3"
"RNF32","0.000001461","Peripheral","ring finger protein 32"
"MED9","0.000001461","Peripheral","mediator complex subunit 9"
"RTL10","0.000001461","Peripheral","retrotransposon Gag like 10"
"NPPB","0.000001459","Peripheral","natriuretic peptide B"
"TMEM126B","0.000001459","Peripheral","transmembrane protein 126B"
"PGM2L1","0.000001459","Peripheral","phosphoglucomutase 2 like 1"
"HEG1","0.000001459","Peripheral","heart development protein with EGF like domains 1"
"THAP12","0.000001458","Peripheral","THAP domain containing 12"
"LHCGR","0.000001456","Peripheral","luteinizing hormone/choriogonadotropin receptor"
"FBXO44","0.000001456","Peripheral","F-box protein 44"
"STK36","0.000001456","Peripheral","serine/threonine kinase 36"
"RRP9","0.000001455","Peripheral","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
"MED27","0.000001454","Peripheral","mediator complex subunit 27"
"MED22","0.000001454","Peripheral","mediator complex subunit 22"
"SYT9","0.000001454","Peripheral","synaptotagmin 9"
"F8","0.000001452","Peripheral","coagulation factor VIII"
"GDF15","0.000001451","Peripheral","growth differentiation factor 15"
"KCNJ8","0.000001451","Peripheral","potassium inwardly rectifying channel subfamily J member 8"
"DAND5","0.00000145","Peripheral","DAN domain BMP antagonist family member 5"
"GLYCTK","0.000001449","Peripheral","glycerate kinase"
"SEC62","0.000001449","Peripheral","SEC62 homolog, preprotein translocation factor"
"PJA2","0.000001449","Peripheral","praja ring finger ubiquitin ligase 2"
"FGF12","0.000001449","Peripheral","fibroblast growth factor 12"
"RYK","0.000001448","Peripheral","receptor like tyrosine kinase"
"CILP","0.000001448","Peripheral","cartilage intermediate layer protein"
"ARHGEF16","0.000001447","Peripheral","Rho guanine nucleotide exchange factor 16"
"TRPC7","0.000001447","Peripheral","transient receptor potential cation channel subfamily C member 7"
"RELL2","0.000001446","Peripheral","RELT like 2"
"BTG3","0.000001446","Peripheral","BTG anti-proliferation factor 3"
"CBLL1","0.000001446","Peripheral","Cbl proto-oncogene like 1"
"UGGT2","0.000001446","Peripheral","UDP-glucose glycoprotein glucosyltransferase 2"
"HLF","0.000001445","Peripheral","HLF transcription factor, PAR bZIP family member"
"LRRTM3","0.000001445","Peripheral","leucine rich repeat transmembrane neuronal 3"
"RLF","0.000001443","Peripheral","RLF zinc finger"
"NSA2","0.000001443","Peripheral","NSA2 ribosome biogenesis factor"
"AP1M2","0.000001442","Peripheral","adaptor related protein complex 1 subunit mu 2"
"SARNP","0.000001442","Peripheral","SAP domain containing ribonucleoprotein"
"CKB","0.000001442","Peripheral","creatine kinase B"
"PRR7","0.000001441","Peripheral","proline rich 7, synaptic"
"TANC2","0.000001441","Peripheral","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
"AHSG","0.00000144","Peripheral","alpha 2-HS glycoprotein"
"WDR36","0.00000144","Peripheral","WD repeat domain 36"
"HPS1","0.000001439","Peripheral","HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"
"HPS4","0.000001439","Peripheral","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"
"GCH1","0.000001439","Peripheral","GTP cyclohydrolase 1"
"H1-3","0.000001439","Peripheral","H1.3 linker histone, cluster member"
"PIP4P1","0.000001439","Peripheral","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1"
"RBM39","0.000001438","Peripheral","RNA binding motif protein 39"
"PTH2","0.000001438","Peripheral","parathyroid hormone 2"
"KCNA3","0.000001438","Peripheral","potassium voltage-gated channel subfamily A member 3"
"PRND","0.000001438","Peripheral","prion like protein doppel"
"PANK3","0.000001438","Peripheral","pantothenate kinase 3"
"PANK2","0.000001438","Peripheral","pantothenate kinase 2"
"MON1B","0.000001437","Peripheral","MON1 homolog B, secretory trafficking associated"
"MAGEA4","0.000001437","Peripheral","MAGE family member A4"
"NCR3LG1","0.000001436","Peripheral","natural killer cell cytotoxicity receptor 3 ligand 1"
"DDX24","0.000001436","Peripheral","DEAD-box helicase 24"
"GLB1L","0.000001435","Peripheral","galactosidase beta 1 like"
"XPO4","0.000001435","Peripheral","exportin 4"
"SENP7","0.000001435","Peripheral","SUMO specific peptidase 7"
"ABCA3","0.000001435","Peripheral","ATP binding cassette subfamily A member 3"
"CSGALNACT2","0.000001433","Peripheral","chondroitin sulfate N-acetylgalactosaminyltransferase 2"
"CSGALNACT1","0.000001433","Peripheral","chondroitin sulfate N-acetylgalactosaminyltransferase 1"
"SP2","0.000001433","Peripheral","Sp2 transcription factor"
"MCM9","0.000001433","Peripheral","minichromosome maintenance 9 homologous recombination repair factor"
"CCN4","0.000001432","Peripheral","cellular communication network factor 4"
"EXOC6B","0.000001432","Peripheral","exocyst complex component 6B"
"ANKRD16","0.00000143","Peripheral","ankyrin repeat domain 16"
"IQSEC2","0.00000143","Peripheral","IQ motif and Sec7 domain ArfGEF 2"
"NOP9","0.000001429","Peripheral","NOP9 nucleolar protein"
"WNT9B","0.000001429","Peripheral","Wnt family member 9B"
"NOCT","0.000001428","Peripheral","nocturnin"
"CLDN1","0.000001427","Peripheral","claudin 1"
"RNMT","0.000001427","Peripheral","RNA guanine-7 methyltransferase"
"TEAD1","0.000001427","Peripheral","TEA domain transcription factor 1"
"PGD","0.000001426","Peripheral","phosphogluconate dehydrogenase"
"TNNC1","0.000001425","Peripheral","troponin C1, slow skeletal and cardiac type"
"CHST14","0.000001425","Peripheral","carbohydrate sulfotransferase 14"
"SUCLA2","0.000001425","Peripheral","succinate-CoA ligase ADP-forming subunit beta"
"ALG13","0.000001424","Peripheral","ALG13 UDP-N-acetylglucosaminyltransferase subunit"
"NECTIN4","0.000001424","Peripheral","nectin cell adhesion molecule 4"
"SETD5","0.000001424","Peripheral","SET domain containing 5"
"PDK4","0.000001424","Peripheral","pyruvate dehydrogenase kinase 4"
"PIP4P2","0.000001423","Peripheral","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"
"NXPH3","0.000001423","Peripheral","neurexophilin 3"
"OSBP","0.000001423","Peripheral","oxysterol binding protein"
"RPF2","0.000001422","Peripheral","ribosome production factor 2 homolog"
"UBXN10","0.00000142","Peripheral","UBX domain protein 10"
"BZW1","0.000001419","Peripheral","basic leucine zipper and W2 domains 1"
"PREX2","0.000001419","Peripheral","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
"SLC5A1","0.000001419","Peripheral","solute carrier family 5 member 1"
"SLC6A4","0.000001418","Peripheral","solute carrier family 6 member 4"
"ZNF467","0.000001418","Peripheral","zinc finger protein 467"
"DIS3L2","0.000001418","Peripheral","DIS3 like 3'-5' exoribonuclease 2"
"RTN3","0.000001416","Peripheral","reticulon 3"
"PCBP4","0.000001416","Peripheral","poly(rC) binding protein 4"
"FABP9","0.000001416","Peripheral","fatty acid binding protein 9"
"PEX13","0.000001415","Peripheral","peroxisomal biogenesis factor 13"
"TBR1","0.000001414","Peripheral","T-box brain transcription factor 1"
"RPS12","0.000001414","Peripheral","ribosomal protein S12"
"SCAF11","0.000001414","Peripheral","SR-related CTD associated factor 11"
"TBCB","0.000001414","Peripheral","tubulin folding cofactor B"
"RGPD3","0.000001413","Peripheral","RANBP2 like and GRIP domain containing 3"
"ENO3","0.000001413","Peripheral","enolase 3"
"MPC2","0.000001412","Peripheral","mitochondrial pyruvate carrier 2"
"EIF1AD","0.000001412","Peripheral","eukaryotic translation initiation factor 1A domain containing"
"TPT1","0.000001411","Peripheral","tumor protein, translationally-controlled 1"
"MOCS1","0.00000141","Peripheral","molybdenum cofactor synthesis 1"
"PPY","0.00000141","Peripheral","pancreatic polypeptide"
"NACA2","0.000001409","Peripheral","nascent polypeptide associated complex subunit alpha 2"
"PRELID1","0.000001408","Peripheral","PRELI domain containing 1"
"PRELID3A","0.000001408","Peripheral","PRELI domain containing 3A"
"TRIM39-RPP21","0.000001408","Peripheral","TRIM39-RPP21 readthrough"
"SPATA5","0.000001407","Peripheral","spermatogenesis associated 5"
"ABCB11","0.000001407","Peripheral","ATP binding cassette subfamily B member 11"
"MEIS1","0.000001407","Peripheral","Meis homeobox 1"
"MICB","0.000001406","Peripheral","MHC class I polypeptide-related sequence B"
"BST1","0.000001406","Peripheral","bone marrow stromal cell antigen 1"
"P2RX7","0.000001406","Peripheral","purinergic receptor P2X 7"
